 ,name,relation,discipline_human,tier,definition_excerpt,domains_deepseek,domains_qwen38,CORE_shared,only_deepseek,only_qwen38,silver_domains,HUMAN_domain_VERDICT,note
0e591e62fa4018adcef357d768572aecc6604c789b0e9cd811b9bb5ee0e5eacd,Diverse Prompt Ensemble Generation,partial overlap,,?,"Generating multiple prompts by sampling from training data creates variation in model completions, increasing the likelihood of finding correct answers to a given problem. This approach leverages diversity in prompt construction to explore different solution paths.",ai & agents; research & methodology,ai & agents; code & computation,ai & agents,research & methodology,code & computation,ai & agents; research & methodology,ai & agents; research & methodology,
19fa313d4c2f5755666c8101bfaf5cd9255b778eda56497a3ff0852cbba4bbf0,Evidence-based Evaluation in Organizational Learning,partial overlap,organizational theory,pending_4axis,Organizational learning depends on commitment to evidence-based evaluation rather than reliance on intuition or experience alone.,business operations; organizational behavior; research & methodology,design strategy; organizational behavior; research & methodology,organizational behavior; research & methodology,business operations,design strategy,,organizational behavior; research & methodology; business operations,
5022f46ede0ce461434db197ed8a2e69d296a07d2df7d64be331086dea9348f3,Expressive Type As Handwriting,partial overlap,,?,Type that mimics handwriting or hand-drawn elements expresses individual voice and personality more effectively than standardized fonts. This principle applies when the communicative goal includes personal expression or emotional resonance.,brand identity; graphic design; semiotics & communication,brand identity; graphic design; illustration,brand identity; graphic design,semiotics & communication,illustration,brand identity; editorial & advertising; graphic design; media & entertainment; user experience,brand identity; graphic design; illustration,
98ccd412a92510434bb67bde051564a6eab88f0c9bc80113e62c372570024b84,Feminist Data Visualization,partial overlap,,?,Data visualization that centers marginalized perspectives and lived experiences to challenge dominant narratives and create more authentic representations of complex phenomena. The principle emphasizes the integration of personal storytelling with structured data formats to revea,data visualization; semiotics & communication; social sciences,arts & culture; data visualization; social sciences,data visualization; social sciences,semiotics & communication,arts & culture,data visualization; education,data visualization; social sciences; semiotics & communication,
b418d5220d632cc72ac0a26749c3449c6b9751e3f495aec8e45495edb8063e9c,Five Hat Racks Organizational Principle,partial overlap,,?,"A principle for organizing information into five fundamental categories: category, time, location, alphabet, and continuum.",information architecture; systems & frameworks; user experience,digital product; information architecture; user experience,information architecture; user experience,systems & frameworks,digital product,,information architecture; user experience; systems & frameworks,
38e67d88d6d237fdfa85d1429cb9aa63d66740b86328f506211bd8b63e7c6e8a,Force-driven Motion Change,partial overlap,theoretical physics,silver_4axis,"Changes in an object's motion state — including speed, direction, or rotation — are exclusively caused by forces acting upon that object. Forces are defined as pushes or pulls that alter the physical trajectory of matter in response to applied energy or interaction.",computational science & physics; engineering & infrastructure,computational science & physics; creative technology,computational science & physics,engineering & infrastructure,creative technology,computational science & physics; engineering & infrastructure,computational science & physics; engineering & infrastructure,
1a3637c3f72a49d81f27ab05a792b517ca67a9bfc7acf2255228b9c7688a96bc,Generalist Vs Specialist Approach in Creative Industries,partial overlap,,?,"A preference for generalists (polymaths) over specialists in creative organizations, particularly when projects become more complex and require cross-disciplinary connections.",arts & culture; design strategy; organizational behavior,arts & culture; creative technology; design strategy,arts & culture; design strategy,organizational behavior,creative technology,,arts & culture; design strategy; organizational behavior,
beab51799bd6fe9e863db519b6f20bf0e9abd5abfb230bdc69b0d0f0c0b446f4,Grounded Theory Method and Pragmatism,partial overlap,,?,"A research approach that emphasizes the importance of insight, modeling, and theorizing in analyzing large datasets, particularly in the context of big data and knowledge discovery in databases (KDD).",research & methodology; science & research,data visualization; research & methodology,research & methodology,science & research,data visualization,,research & methodology; science & research,
146300dd57d30bec2acb350f721b57ccb79db6ce57de95f16df6fc7afe456992,Hereditary Surname Adoption,partial overlap,,?,"Family names become hereditary identifiers when social hierarchies establish them as markers of status, and common people adopt them to emulate elite groups. The practice spreads from elite to common classes as a means of social mobility and identity formation.",semiotics & communication; social sciences,arts & culture; social sciences,social sciences,semiotics & communication,arts & culture,,social sciences; semiotics & communication,
8591af941fdae62859e0a25235ec33a375c41ee9f1fcd1357225a721f9b41c59,Human-centered Design Limitations,partial overlap,systems thinking,gold_4axis,"Human-centered design approaches often fail to account for the broader ecological and systemic consequences of design decisions, treating human needs as the primary or sole constraint. This perspective can lead to the depletion or extinction of non-human elements and overlook the",design strategy; systems & frameworks,design strategy; user experience,design strategy,systems & frameworks,user experience,product design,design strategy; systems & frameworks; user experience,
dba5ba38c8e7c4d97e476a5b11b25530b00add0c9772d90de69c06371e091fdf,Iatrogenics in Social Science and Policy,partial overlap,,?,Social science theories and policy interventions can cause more harm than good due to their concentration of power and amplification of risks in Extremistan environments.,legal & public policy; social sciences; systems & frameworks,design strategy; legal & public policy; social sciences,legal & public policy; social sciences,systems & frameworks,design strategy,,legal & public policy; social sciences; systems & frameworks,
bef863827c3ca3d1d53929806fc341cf83e9170109ea836b3b53a6ba19f2f4d8,Metaphorically Selling How to Use the Ma,partial overlap,communication theory,pending_4axis,"Sales presentations often use analogies and metaphors to explain complex technical concepts by comparing them to familiar, everyday experiences. This principle describes a specific rhetorical technique where technical features are framed through relatable comparisons to make abst",business development; marketing & communications,marketing & communications; semiotics & communication,marketing & communications,business development,semiotics & communication,,marketing & communications; semiotics & communication,
19e51c8162571d31996c79e752169256d627f84fbfd3e1a7feae8a1bd45e8ded,Multi-use Licensing Revenue Model,partial overlap,,?,"Illustrators and designers can generate additional revenue streams by licensing their work for multiple uses beyond the initial commission, including extended formats like billboards, web, and publications. This model enables creators to maximize the value of their intellectual p",business development; finance & investment; illustration,finance & investment; illustration; marketing & communications,finance & investment; illustration,business development,marketing & communications,entrepreneurship; illustration,finance & investment; illustration; business development,
18e6e94e830a5570e13839de656722c971ef914a3bc2e3c105a5ab4ff027abd5,Programmable Computational Memory,partial overlap,,?,"Computational systems can store and execute sequences of operations through programmable memory structures that separate data from instructions, enabling flexible automation of complex tasks. This principle describes the foundational architecture where stored programs allow machi",code & computation; systems & frameworks,code & computation; engineering practice,code & computation,systems & frameworks,engineering practice,engineering practice; systems & frameworks,code & computation; engineering practice; systems & frameworks,
d23b4a6b5146e2c137107bb9af0d765df521420a4bba93c41e81ecd8a99941da,Strategy Vs Planning in Military Context,partial overlap,,?,"A distinction between strategic thinking and tactical planning in military operations, illustrated by the contrasting approaches of the RAF and Luftwaffe during the Battle of Britain.",leadership; project management,design strategy; leadership,leadership,project management,design strategy,,leadership; project management,
b3caff68aaf5e73e56de97958e3aeda9fade1dd786be1af643541091d9fb53dc,Structural Parasitism in Systems,partial overlap,systems thinking,silver_4axis,"When systems fail to adequately address structural imbalances or power dynamics, they create conditions where parasitic behaviors emerge and thrive, often at the expense of the broader system's health and stability. This principle describes how systemic weaknesses enable exploita",organizational behavior; social sciences; systems & frameworks,design strategy; social sciences; systems & frameworks,social sciences; systems & frameworks,organizational behavior,design strategy,legal & public policy; organizational behavior,social sciences; systems & frameworks; organizational behavior,
e2d7c4b0ccb93b1e730facd7be5dea61e3c29774bc1a6ad0f419b9a3f31c4f10,Total System Runaway Sequence,partial overlap,political economy,pending_4axis,"A system that has expanded to involve the entire social order and vital functions of a nation, becoming so integrated that it cannot be stopped without causing massive disruption and must continue growing to maintain its operation.",legal & public policy; social sciences; systems & frameworks,design strategy; social sciences; systems & frameworks,social sciences; systems & frameworks,legal & public policy,design strategy,,social sciences; systems & frameworks; legal & public policy,
7bff3b300bfd84b65e2878b362da2798844fb6ca017314510afec9bfbf2d45b3,Virtual Reality Phobia Desensitization,partial overlap,psychology,pending_4axis,A principle describing how virtual reality simulations can be used for progressive phobia desensitization by controlling the degree of presence and enabling instant exit from stressful environments.,health & wellness; science & research,creative technology; health & wellness,health & wellness,science & research,creative technology,,health & wellness; creative technology,
9f88776913cc20b6732caf0d24b35b548fe2b6b10bd39243fde7e17524b312f7,Visual Effects Workflow Integration,partial overlap,,?,"The integration of visual effects, compositing, and motion graphics into a unified creative workflow requires systematic approaches to layer management, masking, and expression-based automation. This principle describes how modern digital production tools support complex multi-la",creative technology; media & entertainment; motion design,code & computation; creative technology; motion design,creative technology; motion design,media & entertainment,code & computation,editorial & advertising; media & entertainment; motion design,creative technology; motion design; media & entertainment,
1b0b34718d0f732e74cb1392e460e8ab81bee4ec55167c86bf5f367d1f1eeac1,Visual Metaphor in Advertising (2),partial overlap,,?,"Visual metaphors in advertising leverage iconic imagery and symbolic representation to communicate abstract concepts or brand attributes through direct visual analogy. These metaphors function by mapping familiar visual domains onto unfamiliar product or service domains, enabling",editorial & advertising; marketing & communications; semiotics & communication,brand identity; editorial & advertising; semiotics & communication,editorial & advertising; semiotics & communication,marketing & communications,brand identity,brand identity; editorial & advertising; marketing & communications; semiotics & communication,editorial & advertising; semiotics & communication; marketing & communications,
35f8340a9be95d41866bfbb83e5df260d51098a5c9ecfc35126ebb4b73100ac4,Continuous Evolution Imperative,subset (granularity),,?,All entities in a dynamic system must continuously adapt to changing conditions or face obsolescence. This principle describes an inevitable structural pressure that drives adaptation as a survival mechanism.,business operations; design strategy; organizational behavior; product design; systems & frameworks,design strategy; systems & frameworks,design strategy; systems & frameworks,business operations; organizational behavior; product design,,business operations; legal & public policy,systems & frameworks; business operations; organizational behavior,
acfd6e0bd84eea9a9250e7e29e8572e14b512daa34a366ae3cb25599f3c24359,Material Speculation Framework,subset (granularity),,?,A design research methodology that combines speculative artifact creation with empirical field studies to explore counterfactual futures and lived experiences. The approach integrates creative design thinking with rigorous empirical analysis of how people actually interact with a,arts & culture; creative technology; design strategy; product design; research & methodology,design strategy; research & methodology,design strategy; research & methodology,arts & culture; creative technology; product design,,design strategy; user experience,design strategy; research & methodology; product design,
0b0cbabaf1668067eb3716fbd037d8444b43b137600f1bbe859607fc769f3d23,Reframing Opportunity Through Perspective Shift,subset (granularity),,?,"Reframing involves deliberately shifting the conceptual lens through which a problem or opportunity is understood, revealing hidden possibilities and enabling new solutions. The principle describes how changing the framing of a challenge can unlock previously unseen paths to inno",design strategy; entrepreneurship; product design; user experience,design strategy,design strategy,entrepreneurship; product design; user experience,,business operations; product design,"design strategy; entrepreneurship,product design",
57bb2cb598f88b85f7a130ba5e425481121c88988bf59d3c2edfe4643182d733,Status Quo Bias Through Choice Overload,subset (granularity),,?,"The status quo bias is amplified when multiple alternatives are present, as the increased cognitive effort required to evaluate options leads people to default to familiar or existing choices. This principle describes how decision complexity can unintentionally steer behavior tow",design strategy; digital product; marketing & communications; product design; user experience,digital product; user experience,digital product; user experience,design strategy; marketing & communications; product design,,,digital product; user experience; marketing & communications,
86a996c254b8756cc96336595926336f5415882aca52118fa60967c5136f1bce,Targeted Osint Platform Enumeration,subset (granularity),,?,"OSINT investigators systematically identify and enumerate alternative platforms where a target may maintain presence or activity, particularly when primary platforms show signs of restriction or limitation. This involves cross-referencing account names, content, and metadata acro",legal & public policy; marketing & communications; research & methodology; social sciences,research & methodology,research & methodology,legal & public policy; marketing & communications; social sciences,,research & methodology; social sciences,"research & methodology; social sciences, legal & public policy",
641036067d7a4752f004e63030a765770c064b3fb80e30f6bc1faa16b9d1f662,Assertion As Design Foundation,subset (granularity),design thinking,pending_4axis,"An assertion is a proposed claim or hypothesis that serves as the starting point for design and creation processes, requiring testing to validate its truth.",design strategy; product design; research & methodology,design strategy,design strategy,product design; research & methodology,,,"design strategy; research & methodology, product design",
10d2e782b4b7fedb07d30d9aad11d1769b023870a1f0ec6a74721684be0cfab2,Black and White Color Usage in Design,subset (granularity),,?,A design principle where black and white are used as primary colors in combination with other vibrant colors to create fundamental communication through simplicity and stark contrast.,graphic design,brand identity; design systems; graphic design,graphic design,,brand identity; design systems,brand identity; editorial & advertising; graphic design,graphic design; brand identity; editorial & advertising,
dd685dd60b9b22130878bd398cde55c0146036757c4bf9cc8d2785544e0aa7a9,Critical Threshold Accumulation,subset (granularity),,?,"A system's behavior can undergo a sudden, dramatic change when a critical threshold is reached, even though small changes may have no effect until that point. The accumulation of small interactions over time creates instability that culminates in a tipping point where the system'",finance & investment; social sciences; systems & frameworks,systems & frameworks,systems & frameworks,finance & investment; social sciences,,health & wellness; systems & frameworks,systems & frameworks; social sciences,
40cd14cc5a9a9140eaeb9189162c9c65be517490af030734d8ddf6bdaee9e64f,Distributed Coordination Without Central Control,subset (granularity),,?,"Systems can achieve coordinated behavior and formation maintenance through local interactions and self-correction mechanisms, without requiring central command or global coordination. The principle describes how decentralized agents can synchronize their actions based on local in",systems & frameworks,ai & agents; computational art; systems & frameworks,systems & frameworks,,ai & agents; computational art,ai & agents; systems & frameworks,systems & frameworks; ai & agents,
b06cbbf11e209b66a5b3cc0de9ffd50f012af65513fe0d0b69320610f0a2b051,Divergent and Convergent Thinking in Design,subset (granularity),creative process,pending_4axis,A principle describing the fundamental pattern in design processes that involves alternating between generating many possibilities (divergent thinking) and narrowing down to specific solutions (convergent thinking).,design strategy; product design; user experience,design strategy,design strategy,product design; user experience,,,design strategy; product design,
4a6f26991d30d95d55c1f91ce5485854d6d8b6933c313958c0c75ca3aab5e99e,Economics As Evolutionary Science,subset (granularity),economics,pending_4axis,"A theoretical framework that positions economics as an evolutionary science rather than a static optimization-based discipline, emphasizing the need for dynamic methods and biological analogies.",research & methodology; social sciences,,,research & methodology; social sciences,,,research & methodology; social sciences,
d8d5d3fae0761568d850ee5f25be26d9b0f3f19bff109f6d77a826b0015384f7,Idea Virus Spread Through Social Networks,subset (granularity),,?,"Ideas or products can spread rapidly through populations via social networks, behaving like viral infections where each adopter becomes a vector for further propagation. The principle describes how successful growth occurs when the product itself becomes a vehicle for amplificati",business development; marketing & communications; media & entertainment; social sciences,marketing & communications; social sciences,marketing & communications; social sciences,business development; media & entertainment,,business development; marketing & communications,marketing & communications; social sciences; business development,
dec446fd98e0c78a422db8e21733068041bd4a4b0c3cdca399d85218ce651954,Iterative Design Refinement,subset (granularity),creative process,gold_4axis,"Design processes improve through repeated cycles of experimentation, feedback, and adjustment. Each iteration builds on previous insights to refine solutions and address emergent challenges.",design strategy; digital product; product design; research & methodology; user experience,design strategy; product design; user experience,design strategy; product design; user experience,digital product; research & methodology,,design strategy; project management,design strategy; product design; user experience,
985ff97f002ee6f209337893290ae6716417a106c4126da1d741f6072aac4300,Leverage Points in Decision Making,subset (granularity),,?,"A principle describing how small differences or changes can create large effects in decision-making contexts, particularly in finding opportunities for action and identifying vulnerabilities.",business development; design strategy; systems & frameworks,design strategy,design strategy,business development; systems & frameworks,,,systems & frameworks; design strategy; business development,
67a213e128469ee1b0d4fdb640e2d427c7e678d55fbe615022b4fe3689afac7e,Multimodal Conceptual Representation,subset (granularity),semiotics,silver_4axis,"Visual and linguistic semiotic systems can independently represent conceptual structures while maintaining structural correspondence, enabling each modality to supplement and reinforce the other in composite texts. This dual representation allows for the expression of complex ide",semiotics & communication,graphic design; information architecture; semiotics & communication,semiotics & communication,,graphic design; information architecture,data visualization; semiotics & communication,semiotics & communication; information architecture,
5d1f19a335fd3674128c099e085c6db45de4bd929dd494eddec8e5c078ff53e6,Natural Pattern Recognition,subset (granularity),cognitive science,silver_4axis,"Living systems and human perception naturally recognize and respond to recurring structural patterns in their environment, whether in geometry, form, or biological organization. These patterns emerge from fundamental physical and evolutionary processes and guide both design and u",design strategy; environmental design; graphic design; industrial design; product design,design strategy; graphic design; product design,design strategy; graphic design; product design,environmental design; industrial design,,arts & culture; engineering practice; graphic design; product design; user experience,"graphic design; product design; user experience,design strategy",
75ea3d34d5214219f5e0aa0e14b58487a0277b0f66f6e253ba6645a599602df5,Regression to the Mean,subset (granularity),,?,A statistical phenomenon where extreme measurements tend to return toward the average over time.,data visualization; research & methodology; science & research; user experience,data visualization; research & methodology,data visualization; research & methodology,science & research; user experience,,,data visualization; research & methodology; science & research,
1e2b13ff3fb73875257162ff344ab13605ced4693d2eea229b37c5b89f2a220f,Reversal Thinking,subset (granularity),creative process,silver_4axis,"Effective problem-solving often requires reversing the direction of reasoning or approach, particularly when conventional methods fail to address fundamental contradictions. This principle suggests that breakthrough insights emerge not from incremental adjustments but from radica",design strategy; personal productivity; systems & frameworks,design strategy,design strategy,personal productivity; systems & frameworks,,business operations; science & research,design strategy; systems & frameworks; personal productivity,
cbf02c1e54e3c35b08eeccf74b3c8573abbec44c4fcceda5cf961238728c7346,Shader-based Parallel Processing,subset (granularity),,?,"Shaders enable parallel computation of graphics effects by processing multiple pixels or vertices simultaneously on the GPU, leveraging the hardware's ability to execute the same operations across many data points in lockstep. This approach is particularly effective for tasks tha",code & computation; computational art; creative technology; media & entertainment; motion design,code & computation; computational art; creative technology,code & computation; computational art; creative technology,media & entertainment; motion design,,data visualization; media & entertainment,code & computation; computational art; creative technology,
0221476f29dcecf471759802848d3d6644419d053e68164d142490f3c0b68ae0,Typographic Medium Evolution,subset (granularity),,?,"The evolution of typographic systems reflects a progression from functional replication of handwritten forms to the exploitation of unique qualities inherent to the typographic medium. This transformation occurs through iterative adaptation and intentional design, as practitioner",graphic design,arts & culture; design strategy; graphic design,graphic design,,arts & culture; design strategy,design strategy; graphic design,graphic design; design strategy,
f88cf2b4bfc323e833a809a85b065732124783a1d500bf73f9fdf0a16923e5dc,Visual Rhetoric and Contextual Meaning,subset (granularity),,?,"Visual communication is inherently rhetorical and embedded within social, cultural, and contextual frameworks that shape both creation and interpretation. The meaning of visual elements is not fixed but emerges from the interaction between the designer's intent, the audience's cu",semiotics & communication,arts & culture; graphic design; semiotics & communication,semiotics & communication,,arts & culture; graphic design,,semiotics & communication; graphic design,
fc5376052c9db41392d48d0327290eb0b4daf239d71f59a7b5b94b7fc72d979b,Von Restorff Effect,subset (granularity),psychology,pending_4axis,A cognitive phenomenon where items that stand out from their context or differ from typical experiences are better remembered than items that blend in with their surroundings.,brand identity; editorial & advertising; graphic design; marketing & communications; user experience,graphic design; marketing & communications; user experience,graphic design; marketing & communications; user experience,brand identity; editorial & advertising,,,graphic design; marketing & communications; user experience,
50ee8122741273b4a86424e538d7d5180610a4ea842a50b8bc8a84612539538a,Adaptive Interface Flexibility,subset (granularity),,?,"Systems that interface with users or data must adapt their form and function based on context, input, or available tools. This principle describes a design approach where flexibility is built into the interface to accommodate diverse requirements and constraints.",design systems; digital product; user experience; web & ui,digital product; user experience; web & ui,digital product; user experience; web & ui,design systems,,user experience,digital product; user experience; web & ui,
1bd8c46d95068a395d33742b63c96b60dc09f6a52e75bcf1c5f88494679a0466,Addiction As Chronic Reward Seeking,subset (granularity),psychology,silver_4axis,"Addiction is characterized by persistent pursuit of rewarding stimuli despite negative consequences. This pattern emerges across substances, technologies, and behaviors, indicating a fundamental human drive to seek rewards even when they cause harm. The condition is not defined b",digital product; health & wellness; user experience,health & wellness; user experience,health & wellness; user experience,digital product,,health & wellness,health & wellness; user experience; digital product,
e1871a2ad51d17fc56ed2f728f750126cd59f1ee5b4e2e9c77e409e3246d86c8,Ai and Data Quality Lessons From Financial Crisis,subset (granularity),,?,"A cautionary principle that emphasizes the critical importance of data quality in AI and machine learning applications, learned from the 2007-2009 financial crisis.",ai & agents; finance & investment,ai & agents; data visualization; finance & investment,ai & agents; finance & investment,,data visualization,,ai & agents; finance & investment,
90214f5f5193e8db5f9761512c8428378aba2b792e9ba4a11ae84d0a711d199d,Attention Economy Value Proposition,subset (granularity),economics,gold_4axis,"The fundamental value of a media or information product is not its content or service, but the attention of its audience, which can be monetized through advertising. This creates a competitive dynamic where the primary goal is audience capture and retention rather than content qu",marketing & communications; media & entertainment,design strategy; marketing & communications; media & entertainment,marketing & communications; media & entertainment,,design strategy,marketing & communications; media & entertainment,marketing & communications; media & entertainment,
c7f9e33a1de6b30424bea318b43e0b084b7b1113f4d69c33152cbaa19033b444,Cellular Automata,subset (granularity),,?,"A computational system built from simple digital elements called cells, each with a binary state (0 or 1), that can reveal how complex systems operate and demonstrate programming techniques for code-based projects.",code & computation; systems & frameworks,code & computation; computational art; systems & frameworks,code & computation; systems & frameworks,,computational art,code & computation; computational science & physics; education,code & computation; systems & frameworks; computational science & physics,
a166d73f9b110dd34e37ae63a9462f97d100ba5e5d093cde306e5348fe27d9c6,Collegial Professional Groups and Social Identification,subset (granularity),organizational theory,pending_4axis,"Professional or colleague groups where members are collectively identified and held responsible for each other's conduct, creating a team-like structure with shared reputation and disciplinary mechanisms.",organizational behavior,organizational behavior; social sciences,organizational behavior,,social sciences,,organizational behavior; social sciences,
2de1c9d56ff5c8f71122e18d7253d220844dae699c5bf77855465e618f44dc54,Color Management in Graphic Design,subset (granularity),,?,"A method for using color as a primary visual element to create contrast, symbolize ideas, and influence audience response through psychological and cultural understanding.",graphic design,brand identity; graphic design,graphic design,,brand identity,brand identity; editorial & advertising; graphic design,graphic design; brand identity; editorial & advertising,
4dc661556543d19cf862ccf60cecdfac480147a6d897959cea01195f0be5690b,Computational Automaton Stability Principle,subset (granularity),,?,"A computational system requires a balanced regime of neither too chaotic nor too ordered behavior to produce reliable answers, with stable patterns emerging from initial conditions that have more ones than zeros.",systems & frameworks,computational science & physics; systems & frameworks,systems & frameworks,,computational science & physics,code & computation; systems & frameworks,systems & frameworks; computational science & physics; code & computation,
25ef405567c7ea7426a01865e3f4b9c58e9d08d5e2d46ee2aac7f5c5d055c07d,Computational Limits and Emergent Capabilities,subset (granularity),,?,"Computational systems face fundamental limits in solving certain problems, yet they can exhibit emergent capabilities when operating within bounded constraints and leveraging structured information processing. These systems demonstrate that while some problems are uncomputable or",ai & agents; systems & frameworks,ai & agents; code & computation; systems & frameworks,ai & agents; systems & frameworks,,code & computation,,ai & agents; systems & frameworks; code & computation,
eb8a62ceb5b3115af437a9422094d06be411a874a0e297b977f98c74a73a58f4,Context-dependent Place Meaning,subset (granularity),semiotics,pending_4axis,"The meaning and intended experience of a physical space is determined by its structural design and environmental cues, which can lead to misinterpretation when visitors don't understand the contextual semantics of that environment.",environmental design; semiotics & communication,environmental design; semiotics & communication; user experience,environmental design; semiotics & communication,,user experience,,environmental design; semiotics & communication; user experience,
8dee1eff197838443c3d78c1e6c3178f6e3fe9c76882ca1c19f059cd3b050bd5,Correspondence Between Perceiver and World,subset (granularity),cognitive science,pending_4axis,"A fundamental alignment exists between the perceiver's internal representation and the external world, enabling meaningful perception and communication. This correspondence bridges the gap between subjective experience and objective reality.",semiotics & communication; user experience,user experience,user experience,semiotics & communication,,,semiotics & communication; user experience,
b6da0fa8e4e4f9fc6aff3eddda04fa24e2e08c60593647b403861e2ec2b20feb,Creative Identity Through Constraint,subset (granularity),,?,Creative work emerges most powerfully when individuals are both deeply committed to their craft and constrained by clear standards of excellence. The principle describes how personal dedication and external benchmarks combine to define meaningful creative output.,arts & culture,arts & culture; design strategy,arts & culture,,design strategy,arts & culture,arts & culture; design strategy,
5c1bae404ec9ab5c4e3cb08c4c8166b634a74ff11d133e39891e7e5a6464409c,Creative Inspiration Through Provocation,subset (granularity),,?,Engaging with research material through provocative prompts or unconventional angles stimulates creative insight and deeper understanding. This approach challenges initial assumptions and opens new pathways for interpretation and discovery.,research & methodology,arts & culture; research & methodology,research & methodology,,arts & culture,business operations; research & methodology,research & methodology; arts & culture,
85de1723a84544393edd319a89cac25d5333fe66983401fb3b1655c59f22ed9b,Cultural Interpretation and Semiotic Background,subset (granularity),semiotics,pending_4axis,A principle explaining that new cultural messages can only be interpreted within the context of existing cultural memory and that the unknown can only become known when partially familiar.,semiotics & communication,arts & culture; semiotics & communication,semiotics & communication,,arts & culture,,semiotics & communication; arts & culture,
8786423c47d51188525b304fde03cdf8c2f8c580efc265a9f7acf78797014a82,Data Storytelling Narrative Structure,subset (granularity),,?,"Effective data communication requires organizing information into narrative structures that guide interpretation and evoke emotional response. The principle describes how data visualization and storytelling merge to transform raw numbers into meaningful, memorable insights that r",data visualization; semiotics & communication,data visualization; marketing & communications; semiotics & communication,data visualization; semiotics & communication,,marketing & communications,data visualization; education; marketing & communications,data visualization; semiotics & communication; marketing & communications,
4f51455113456a603500acf883adc5595b7e4a41efb9f9ab8dc791a9464d95c8,Data Visualization As Narrative Tool,subset (granularity),,?,"Data visualization serves as a powerful narrative device that transforms numerical information into compelling stories capable of informing, persuading, and emotionally engaging audiences. The principle describes how visual representations can effectively communicate complex tren",data visualization; semiotics & communication,data visualization; graphic design; semiotics & communication,data visualization; semiotics & communication,,graphic design,data visualization; editorial & advertising; marketing & communications,"data visualization; semiotics & communication; marketing & communications, editorial & advertising",
a1f9599ad623ec180e5f29bb5237377b49779131016f7bd4f5469f23a4136b6e,Design Inspiration Through Direct Engagement,subset (granularity),,?,"Designers cultivate creative inspiration by actively collecting and studying visual materials from everyday environments, including typography, signage, and printed ephemera. This practice involves direct observation and physical collection of design elements that resonate with t",graphic design,design strategy; graphic design,graphic design,,design strategy,brand identity; design strategy; graphic design,graphic design; design strategy,
940e9860b669a0f6c7d080461fa774313be6bc905de1d69b7378fe81a7ed37d5,Design Psychology Through Visual Analogy and Aesthetic Flow,subset (granularity),,?,A design approach that uses visual analogies and controlled aesthetic flow to create deeper conceptual connections through micro associations.,brand identity; editorial & advertising; graphic design; user experience,brand identity; graphic design; user experience,brand identity; graphic design; user experience,editorial & advertising,,brand identity; editorial & advertising; graphic design,brand identity; graphic design; user experience,
c112b8f103355c06480825d66186a8131399fa3f3562c78a94f162f87dbe50c2,Design for Human-centered Communication,subset (granularity),,?,"Effective design solutions must address the fundamental communication needs of users in their specific contexts, whether that involves translating complex social problems into actionable strategies, enabling individuals with impairments to express needs, or structuring physical e",design strategy; environmental design; product design; user experience,design strategy; product design; user experience,design strategy; product design; user experience,environmental design,,,design strategy; product design; user experience,
304b7f5494390928989cb09db0635ba09fdcbc5e369868ed4d21d0fb63bfb477,Ecological Validity of Skill Acquisition,subset (granularity),,?,"Skills learned in artificial or non-ecological contexts (like classrooms) may not transfer to real-world situations, leading to confusion and incorrect application when faced with actual problems.",education,education; research & methodology,education,,research & methodology,,education; research & methodology,
614e9613954bd32abed28e9a7d8325e8a7dc6ce7e422ea09406cae002643800a,Exact Match Evaluation Variation,subset (granularity),machine learning,pending_4axis,"A variation of evaluation methodology that accepts any output containing the reference response as a valid match, rather than requiring exact string matching.",research & methodology,ai & agents; research & methodology,research & methodology,,ai & agents,,research & methodology; ai & agents,
ad77f4b28e63eb7e6542163873332bc31183cb7630a7b56f074ee53bd932b4f0,Financial Autonomy Through Conscious Management,subset (granularity),,?,"True financial autonomy requires deliberate tracking, conscious investment of resources, and alignment of spending with long-term goals rather than reactive management of immediate needs. The principle emphasizes that meaningful financial security comes from understanding and dir",finance & investment,finance & investment; personal productivity,finance & investment,,personal productivity,finance & investment,finance & investment; personal productivity,
b701178d3bdbb67d6133b97a939bb5f3738fccf61898cbacca85be6f2fa2f716,Four A's Creative Framework,subset (granularity),,?,A structured approach to stimulating creative thought in groups by introducing a framework that can redirect conversations toward unexpected and valuable directions.,design strategy,arts & culture; design strategy,design strategy,,arts & culture,,"design strategy, arts & culture",
2351d0bdb479fda43003dfacff0e9b50a3b36a27a032e5caf18c0f9afa7e92b9,Idea Generation Through Divergent Thinking,subset (granularity),,?,Generating a large quantity of diverse ideas through structured or unstructured processes that encourage creative exploration and avoid premature evaluation. The principle emphasizes expanding the idea space before narrowing down to viable solutions.,design strategy; product design,design strategy,design strategy,product design,,,design strategy; product design,
01d76d94efc27541b5fa0a5c96cc962673fb67349138dc114acca9c9093f11a8,Immediate Modality Control,subset (granularity),,?,"Controls that produce an immediate effect on data or its presentation without requiring intermediate steps are classified as immediate modality controls. These differ from menus and dialog boxes, which require multiple steps to execute an action.",design systems; digital product; user experience; web & ui,digital product; user experience; web & ui,digital product; user experience; web & ui,design systems,,product design; user experience,digital product; user experience; web & ui,
