#,item_id,name,DEFINITION,APPLICATION,MECHANISM,BOUNDARY,SOURCE EXCERPT,len,CT (1-7),DISC (1-62),FORM (1-4),conf_ct,conf_disc,conf_form,note_codes,reviewer,date
35,R035,Visual Evidence Recognition,Observational data can be interpreted as visual evidence when it reveals unexpected patterns or anomalies that suggest underlying processes or conditions not immediately apparent from surface-level information. This principle describes how specific visual cues can signal deeper systemic behaviors.,When visual observations reveal unexpected patterns or anomalies → do interpret them as potential indicators of underlying processes and investigate further.,"This is a descriptive pattern, not a causal mechanism. Visual anomalies such as unusual bubbling in water, or unexpected flow patterns, are observed to correlate with specific environmental or operational conditions. The principle identifies a class of visual indicators that reliably point to particular underlying phenomena, though the passages do not establish a direct causal chain from the visua","Applies when visual observations reveal patterns that deviate from expected norms and suggest hidden processes. Fails when visual cues are purely coincidental or unrelated to systemic conditions, or when the visual anomaly is too subtle to be reliably detected or interpreted.","[The Data Storytelling Workbook Anna Feigenbaum, Aria Alamalhodaei liber3.md] Observational data can be interpreted as visual evidence when it reveals unexpected patterns or anomalies that suggest underlying processes or conditions not immediately apparent from surface-level information. This principle describes how specific visual cues can signal deeper systemic behaviors.",1535,principle,information science,descriptive model,0.6,0.8,1,close to become principle but. Its also closely related to data visualizatio n ,human,17.09.26
36,R036,Domain Name Call-to-action Strategy,"A branding approach that makes domain names function as memorable calls to action, similar to successful advertising slogans that inspire purchase and build brand affinity.","When creating a domain name for a business → choose action‑oriented words that align with the brand purpose to serve as a memorable, purpose‑driven web identity.","The strategy leverages the psychological impact of action-oriented language in domain names to create memorable, purpose-driven web identities that evoke specific behaviors or associations.",Applies to businesses seeking to create domain names that function as marketing tools rather than just technical identifiers. Fails when the call-to-action is too vague or doesn't align with the business purpose.,"[Hello, My Name Is Awesome How to Create Brand Names That.md] A branding approach that makes domain names function as memorable calls to action, similar to successful advertising slogans that inspire purchase and build brand affinity.",972,principle,design psychology ,normative heuristic,1,0.6,1,"design psychology, as its influence perception",human,17.09.26
37,R037,Style Precedence and Override Behavior,"In integrated design and document systems, when multiple styling systems coexist (e.g., Word and InDesign), one system's styles can take precedence over another's based on naming conventions and system configuration. This creates a hierarchy where native styles from one platform override imported or external styles.","When importing a document from Word into InDesign and style names collide, the designer should verify which system’s styles are applied and rename or adjust styles to avoid silent overrides.","When a style name exists in both Word and InDesign, InDesign's version takes precedence and is treated as a 'native style' from the outset. This is a system-level override behavior where the importing application recognizes and prioritizes its own style definitions over external ones, even if the external style is present in the source document. The system does not merge or combine styles but inst","Applies when style names are identical across different platforms or systems (e.g., Word and InDesign). Fails when style names differ or when the importing system does not recognize the external style as a valid override candidate.","[illustrator_reference.md] In integrated design and document systems, when multiple styling systems coexist (e.g., Word and InDesign), one system's styles can take precedence over another's based on naming conventions and system configuration. This creates a hierarchy where native styles from one platform override imported or external styles.",1530,principle,software engineering,descriptive model,0.8,1,1,,human,17.09.26
38,R038,Multiple Imputation Procedure,A statistical method for handling missing data by generating multiple complete datasets through iterative estimation and then combining results to construct valid confidence intervals.,"When missing data is present in a dataset → generate multiple complete datasets, analyze each as if fully observed, and combine the results using Rubin’s rules to obtain valid confidence intervals that reflect imputation uncertainty.","The procedure generates m sets of imputed values using different models or sampling methods, analyzes each complete dataset as if it were fully observed, and combines estimates using rules similar to bootstrap combination methods.",Applies when missing data is present and requires valid statistical inference. Fails when the missing data mechanism is not MAR or when the imputation models are misspecified.,"[The Grammar of Graphics, Second Edition by Leland Wilkinson.md] A statistical method for handling missing data by generating multiple complete datasets through iterative estimation and then combining results to construct valid confidence intervals.",1075,process template,research methodology,causal mechanism,0.8,0.8,1,not sure if its a principle,human,17.09.26
39,R039,Identity As Social Positioning and Lifestyle Signifiers,"Identity encompasses both social dimensions (age, gender, class) that position individuals in society and personal aspects that enable viewing individuals as social agents who make choices.","When analyzing consumer choices in a market study → consider both the individual's social identity dimensions (age, gender, class) and their personal agency to interpret how lifestyle signifiers influence purchasing behavior.","Social identity dimensions create stable positioning within societal structures, while personal identity aspects allow for agency in choice-making. Consumer goods provide lifestyle signifiers that connect consumption to expressive meaning.",Applies when analyzing how social positioning and personal agency intersect with consumption patterns. Fails when only considering either social dimensions or personal agency in isolation.,"[[Christian_Mosbaek_Johannessen__Theo_van_Leeuwen]_(z-lib.org).md] Identity encompasses both social dimensions (age, gender, class) that position individuals in society and personal aspects that enable viewing individuals as social agents who make choices.",1101,principle,sociology,descriptive model,1,0.6,1,discipline can be emerging since its more sociopeschology research method,human,17.09.26
40,R040,Commercial Advertising Souring of Artistic Vision,The transformation of an artist's creative approach from commercial advertising work to exclusively artistic commentary due to disillusionment with commercial media practices.,"When an artist working in commercial advertising feels increasingly alienated by the industry's profit‑driven values, they should consciously evaluate whether continuing in that space aligns with their personal artistic goals; if not, they should consider pivoting to projects that prioritize personal expression or activist commentary.","The artist initially worked in commercial advertising for financial support, but over time became alienated from the industry's values and practices, leading to a complete shift in creative focus toward personal artistic expression.",Applies when an artist experiences growing disillusionment with commercial media work to the point of complete abandonment. Fails when the artist continues to work in commercial media despite initial reservations.,[epdf.pub_design-literacy-understanding-graphic-design.md] The transformation of an artist's creative approach from commercial advertising work to exclusively artistic commentary due to disillusionment with commercial media practices.,1194,growth edge,,,1,,,,human,17.09.26
41,R041,Consumer Anticipation of Objections,"A principle for product development that emphasizes proactively identifying and addressing potential consumer objections before they arise, particularly for products requiring installation or complex features.",When developing a product that requires installation or has complex features → do proactively identify and address potential consumer objections before they arise.,Consumers are perceptive and will not purchase products that raise objections they cannot resolve. Proactive anticipation of objections allows developers to address concerns before they become barriers to purchase.,Applies to products requiring installation or complex features where consumer objections are likely to emerge. Fails when objections are genuinely unforeseeable or when the developer cannot genuinely anticipate consumer concerns.,"[The Adweek Copywriting Handbook The Ultimate Guide to Writing Powerful Advertising and Marketing Copy From One of Americas… (Joseph Sugarman) (Z-Library).md] A principle for product development that emphasizes proactively identifying and addressing potential consumer objections before they arise, particularly for products requiring installation or complex features.",1187,principle,design psychology ,normative heuristic,1,1,1,"discipline raw ""product development is not close to any of the canonical label",human,17.09.26
42,R042,Destination-control Elevator Interaction Pattern,"A design pattern where passengers input their destination floors before entering the elevator, allowing the system to optimize elevator routing and reduce wait times.","When passengers need to use an elevator in a high‑rise building, input their destination floor before boarding so the system can group similar requests and optimize routing.","Passengers specify their destination floors before boarding, enabling the elevator system to group passengers with similar destinations and optimize routing decisions, rather than requiring passengers to select floors while inside the elevator.",Applies when elevator systems are designed with destination input capabilities and centralized dispatching. Fails when passengers must select floors inside the elevator or when systems lack destination input capability.,"[The-Design-of-Everyday-Things-Revised-and-Expanded-Edition.md] A design pattern where passengers input their destination floors before entering the elevator, allowing the system to optimize elevator routing and reduce wait times.",1036,quarantine,,,,,,valid fact but irrelevant with no useable anylgy wher this can be applied,human,17.09.26
43,R043,Alpha State Thinking and Creative Problem-solving,"A relaxed mental state that enhances imagination, learning, and thought processes, particularly effective for creative problem-solving and idea generation.","When you are in a relaxed mental state (e.g., showering, bathing, lying on a beach) → do engage in creative problem‑solving or idea‑generation activities.","The alpha state occurs during relaxed periods like showering, bathing, or lying on a beach, allowing the brain to process information more freely and generate creative insights that emerge during these low-stress moments.",Applies to creative problem-solving contexts where the individual is in a relaxed state and not under time pressure. Fails when time constraints or high stress prevent the brain from entering this optimal state.,"[Data Visualisation A Handbook for Data Driven Design (Andy Kirk).md] A relaxed mental state that enhances imagination, learning, and thought processes, particularly effective for creative problem-solving and idea generation.",970,principle,neuroscience,empirical pattern,1,0.8,1,discipline can be also creative process,human,17.09.26
44,R044,Cyclical Design Lifecycle,"Effective design must consider the complete lifecycle of a product, from material sourcing through use to end-of-life recycling or reuse. This approach treats design as a continuous loop rather than a linear process, integrating environmental responsibility and resource efficiency at every stage.","When creating a new product design → do evaluate material sourcing, durability, repairability, and recyclability at each stage to ensure closed‑loop sustainability.",Design operates as a closed-loop system where each stage of the product lifecycle influences and constrains the others. Materials selection must account for recyclability and toxicity; usage patterns must consider durability and repairability; end-of-life considerations must drive choices about complexity and component integration. The principle is structural: design decisions at any point in the ,"Applies when design decisions are made with full lifecycle impact in mind. Fails when design is optimized for single-stage performance (e.g., cost, aesthetics) without considering downstream consequences like waste generation, material depletion, or environmental toxicity.","[About Face The Essentials of Interaction Design 4th Edition (Alan Cooper, Robert Reimann, David Cronin etc.) (z-library.sk, 1lib.sk, z-lib.sk).md] Effective design must consider the complete lifecycle of a product, from material sourcing through use to end-of-life recycling or reuse. This approach treats design as a continuous loop rather than a linear process, integrating environmental responsib",1708,principle,design thinking,normative heuristic,1,1,0.6, FORM could also descriptive model,human,17.09.26
45,R045,Wpi Consumer Value Proposition Framework,A comprehensive metric system designed to capture the complete consumer value equation by measuring all components of product and brand value that influence consumer preference and purchasing decisions.,"When evaluating a new product launch or redesign → conduct a WPI assessment to quantify technical performance, consumer preferences, price sensitivity, and brand perception across target segments.","The WPI framework measures multiple dimensions of consumer value including technical performance, consumer preferences, price sensitivity, and brand perception, rather than focusing solely on one technical attribute like absorbency.",Applies when measuring consumer value across multiple product dimensions and market segments. Fails when only single technical attributes are considered or when market-specific testing is not conducted.,"[Playing to Win How Strategy Really Works (A.G. Lafley Roger L. Martin) (z-library.sk, 1lib.sk, z-lib.sk).md] A comprehensive metric system designed to capture the complete consumer value equation by measuring all components of product and brand value that influence consumer preference and purchasing decisions.",1148,principle,operations research,descriptive model,0.6,0.8,0.8,not sure if its a process template and not normative heuristic FORM,human,17.09.26
46,R046,Bitcoin Mining As Digital Ownership Model,A decentralized cryptographic process where participants validate transactions and receive micropayments for their computational contributions to a distributed network.,"When a participant wants to validate transactions in a decentralized cryptocurrency network, they should solve SHA‑256 puzzles to earn micropayments and help secure the network.","Bitcoin miners solve cryptographic puzzles using SHA-256 hash functions to validate transactions and earn micropayments, with the computational power of the network determining who solves the puzzle first and earns the reward.",Applies to decentralized cryptocurrency networks where transaction validation requires computational work. Fails when network participants cannot access the required computational resources or when the network's consensus mechanism changes.,"[Gigatrends_ Six Forces That Are Changing the Future for Billions{Thomas Koulopoulos, Nathaniel Palmer}(2023, Post Hill Press){115406120} libgen.li.md] A decentralized cryptographic process where participants validate transactions and receive micropayments for their computational contributions to a distributed network.",1135,quarantine,,,,,,not sure if its process instance or relevant for principle,human,17.09.26
47,R047,Emotional Transaction Design,"Customer emotional experience drives transaction success more than logical outcomes, requiring design and team approaches that prioritize feeling over function. The principle recognizes that emotional engagement determines customer behavior and loyalty in service interactions.","When designing a customer transaction flow → prioritize emotional cues and responses over purely functional steps, training staff to recognize and respond to feelings and structuring teams to support emotional resonance.","Emotional engagement in transactions is stronger than rational decision-making because customers process feelings first, which then influence their perception of value and satisfaction. Designers and teams must align their strategies to support emotional flow rather than purely functional execution. This requires training staff to recognize and respond to emotional cues, and structuring teams to a","Applies when customer experience involves emotional engagement at multiple touchpoints. Fails when transactions are purely functional or automated without human interaction, or when emotional responses are irrelevant to the outcome (e.g., utility services, industrial equipment).","[Continuous_Discovery_Habits_Discover_Products_that_Create_Teresa.md] Customer emotional experience drives transaction success more than logical outcomes, requiring design and team approaches that prioritize feeling over function. The principle recognizes that emotional engagement determines customer behavior and loyalty in service interactions.",1580,principle,design thinking,normative heuristic,1,1,0.8,,human,17.09.26
48,R048,Creative Process Through Drawing and Sketching,A creative methodology that emphasizes the importance of drawing and sketching as fundamental tools for generating and developing ideas.,"When generating ideas for a design project → do extensive drawing and sketching to explore, iterate, and clarify concepts.","The creative process involves extensive drawing and sketching as a means of exploring ideas, with the mind being 'clear' of distractions to allow for problem-solving. Ideas often emerge in the morning after a period of mental clarity and can be refined through hundreds of sketches.",Applies to creative processes where drawing and sketching are fundamental tools for idea generation and development. Fails when the creative process does not involve drawing or sketching as primary tools.,[A smile in the mind _ witty thinking in graphic design -- Beryl McAlhone & David Stuart_ [Forew_ by Edward de Bono_ --visual metaphor).md] A creative methodology that emphasizes the importance of drawing and sketching as fundamental tools for generating and developing ideas.,1024,principle,creative process,normative heuristic,1,1,0.6,not sure its not casual mechaism,human,17.09.26
49,R049,Fermi Estimation Method,A problem-solving approach for estimating quantities by breaking down complex questions into simpler components and using reasonable approximations.,"When estimating a quantity with no direct data → break the problem into subcomponents, assign reasonable ranges, and combine them logically to produce a structured estimate.","The method involves decomposing a complex estimation problem into manageable sub-problems, setting confidence intervals for estimates, and using logical reasoning to arrive at a reasonable approximation rather than relying on direct knowledge.",Applies to estimation problems where direct knowledge is unavailable but logical breakdown is possible. Fails when the problem cannot be meaningfully decomposed or when the required assumptions are not reasonable.,"[Superforecasting The Art and Science of Prediction (Philip E. Tetlock, Dan Gardner).md] A problem-solving approach for estimating quantities by breaking down complex questions into simpler components and using reasonable approximations.",1018,principle,operations research,normativ heuristic,0.8,0.8,0.8,not sure if its not a process template,human,17.09.26
50,R050,Methodological Accountability,A principle of scholarly responsibility that requires researchers to acknowledge and credit the influence of existing theoretical frameworks and scholarly work in their methodological development.,When developing a new research method → explicitly identify and credit the theoretical frameworks and scholarly work that influenced it.,"The principle mandates that researchers explicitly identify and credit the sources of their methodological inspiration, recognizing that most effective research approaches build upon and synthesize existing scholarly contributions rather than emerge in isolation.",Applies when researchers explicitly acknowledge and credit the influence of other scholars' work in their methodological development. Fails when researchers claim originality without proper attribution to existing scholarship.,[Still Life with Rhetoric A New Materialist Approach for Visual Rhetorics (Laurie E. Gries).md] A principle of scholarly responsibility that requires researchers to acknowledge and credit the influence of existing theoretical frameworks and scholarly work in their methodological development.,1117,principle,research methodology,causal mechanism,1,1,1,,human,17.09.26
51,R051,Central Emptiness in Urban Design,"An urban design principle where a central space is deliberately left empty and inaccessible, creating a symbolic center that forces circulation patterns to follow detours while maintaining the illusion of a complete system.","When designing a city block with a central plaza that should remain a symbolic focal point, leave the plaza empty and inaccessible so that pedestrians and vehicles are guided around it, creating a circular circulation pattern that reinforces the perceived completeness of the layout.","The empty center creates a focal point that generates circular movement patterns, with traffic forced to navigate around it rather than through it, maintaining the system's perceived completeness.",Applies to urban planning systems where a central void is strategically positioned to influence circulation patterns. Fails when the central space is physically accessible or when the system lacks the circular structure described.,"[[Roland_Barthes]_Empire_of_Signs(z-lib.org).md] An urban design principle where a central space is deliberately left empty and inaccessible, creating a symbolic center that forces circulation patterns to follow detours while maintaining the illusion of a complete system.",1208,principle,engineering,descriptive model,0.6,1,1,"not sure iff its relevant principle, flag it as 2 class principle",human,17.09.26
52,R052,Interior Design Fixture Selection Challenge,A process challenge in interior design where finding custom fixtures requires balancing specific design requirements with industry limitations of pre-made products.,"When a client requests a highly customized fixture that does not exist in the current catalog → do conduct a targeted search for the closest match and negotiate with manufacturers for a custom order, or propose a hybrid solution that blends available products with bespoke elements.","The design process involves searching through existing products to find items that match specific aesthetic criteria, but the industry's reliance on pre-designed inventory creates a mismatch between desired customization and available options.",Applies to design professionals working with demanding clients who require custom solutions within existing product catalogs. Fails when the client's specific requirements cannot be met through existing products or when the design process is too time-consuming to be practical.,"[Crossing the Chasm, 3rd Edition Marketing and Selling Disruptive Products to Mainstream Customers (Geoffrey A. Moore).md] A process challenge in interior design where finding custom fixtures requires balancing specific design requirements with industry limitations of pre-made products.",1257,process template,,causal mechanism,1,,,,human,17.09.26
53,R053,Self-referential Incompleteness,Mathematical systems capable of expressing basic arithmetic cannot be both complete and consistent; they must either contain undecidable propositions or contradict themselves. This principle reveals an inherent limitation in formal systems that attempt to reason about their own structure.,"When a formal system attempts to prove all arithmetical truths, recognize that some true statements will remain unprovable and avoid assuming the system is both complete and consistent.","The mechanism operates through self-reference: a formal system that can encode its own statements can construct a proposition that essentially says 'this statement is not provable within this system.' If the statement were provable, it would be false (contradicting the system's consistency), but if it were false, it would be provable (making it true). This creates a logical paradox that forces the",Applies to formal systems that can express basic arithmetic and support self-referential encoding. Fails when the system is too weak to express arithmetic or when it lacks the capacity for self-reference through Gödel numbering or similar encoding techniques.,"[Complexity_ a guided tour_Mitchell, Melanie_liber3.md] Mathematical systems capable of expressing basic arithmetic cannot be both complete and consistent; they must either contain undecidable propositions or contradict themselves. This principle reveals an inherent limitation in formal systems that attempt to reason about their own structure.",1543,principle,emerging,descriptive model,1,0.6,0.8,"emerging because no canonical labels are  close to ""discipline_raw"": ""mathematical logic"" also not sure if it'snot casual machnism",human,17.09.26
54,R054,Shap Explainability Framework,A Python library for explaining machine learning model predictions by computing SHAP values across different model types and architectures.,When a developer needs to interpret a model's predictions → use SHAP to compute feature attributions for that model type or via the kernel explainer.,"The framework provides multiple explainers tailored to specific model types (tree ensembles, deep learning, linear models) and a model-agnostic kernel explainer that works with any model type without assumptions about the underlying architecture.",Applies to machine learning model explainability in Python environments with compatible model types. Fails when used with unsupported model architectures or when the model is not accessible to the SHAP library.,"[The Machine Learning Solutions Architect Handbook, Second Edition (Early Access) (David Ping).md] A Python library for explaining machine learning model predictions by computing SHAP values across different model types and architectures.",986,principle,artificial intelligence,descriptive model,0.8,1,1,THIN:not sure if tits not a tools instruction,human,17.09.26
55,R055,Demand-side Sales Pattern,"Effective demand-side sales begins with deep understanding of the actual customer journey and motivations, not assumptions about a generic or average customer. The approach requires analyzing existing customers to identify distinct buyer personas and their specific reasons for purchasing.",When a company wants to refine its sales strategy → interview actual customers and analyze their decision‑making to identify distinct buyer personas and motivations.,"This is a practical heuristic for identifying customer segments and their unique drivers. By interviewing actual customers and analyzing their decision-making process, organizations can uncover distinct patterns that inform targeted outreach and messaging. The method involves moving from broad assumptions to specific, data-driven insights about who the customers are and why they make choices.","Applies when organizations have access to actual customers and can conduct meaningful interviews or analysis of their behavior. Fails when organizations rely solely on historical data, industry averages, or assumptions about a typical customer without direct customer input.","[Demand-Side Sales 101 Stop Selling and Help Your Customers Make Progress (Bob Moesta Greg Engle) (z-library.sk, 1lib.sk, z-lib.sk).md] Effective demand-side sales begins with deep understanding of the actual customer journey and motivations, not assumptions about a generic or average customer. The approach requires analyzing existing customers to identify distinct buyer personas and their specifi",1553,principle,operations research,normative heuristic,1,0.8,1,not sure if the discipline is not behavioural economics,human,17.09.26
56,R056,Quiz Generation with Llm Integration,"A method for generating quizzes based on a full input memory that includes both initial knowledge base content and additional user-added content, with citation support.","When a teacher or content creator wants to produce a quiz that covers both the core curriculum and supplemental materials, use the LLM-based quiz generator to automatically create questions and provide citations for each answer.","The system creates a Quiz instance that caches input tokens, allowing the model to generate quizzes based on the complete input memory while enabling citation functionality when requested by the user.",Applies when generating quizzes from a complete input memory that includes both base knowledge and additional user content. Fails when the system cannot properly cache or reference the input content.,"[Large Language Models The Hard Parts (for Raymond Rhine) (First Early Release) (Tharsis T.P. Souza, Jonathan K. Regenstein etc.).md] A method for generating quizzes based on a full input memory that includes both initial knowledge base content and additional user-added content, with citation support.",1101,quarantine,,,0.6,,,"SUMMARY, nor noise drop level summary since factual",human,17.09.26
57,R057,Annual Percentage Rate Standardization,A regulatory standard requiring lenders to report interest rates using a uniform calculation method called the annual percentage rate (APR) to enable direct comparison of borrowing costs.,When a borrower compares loan offers → use the APR to evaluate and compare borrowing costs.,"The Truth in Lending Act standardized interest rate reporting by mandating all U.S. lenders to calculate and display rates using the same formula, creating a single comparable metric for borrowers.",Applies to U.S. lending markets regulated by the Truth in Lending Act. Fails when lending instruments become too complex for APR to capture full cost or when regulatory enforcement is inadequate.,"[Nudge The Final Edition (Richard H. Thaler, Cass R. Sunstein).md] A regulatory standard requiring lenders to report interest rates using a uniform calculation method called the annual percentage rate (APR) to enable direct comparison of borrowing costs.",928,process template,,causal mechanism,0.8,,1,,human,17.09.26
58,R058,Illustration As Propaganda Tool,"Illustration serves as a powerful medium for shaping public perception and driving behavioral change, particularly in advocacy and commercial contexts. The same subject matter can be portrayed with varying emotional tones and stylistic approaches to achieve different persuasive outcomes.","When encountering an illustration used in an advocacy or commercial campaign, analyze its emotional tone and stylistic choices to determine how it may vilify or empathize with the subject and influence audience attitudes.","Illustration functions as a visual rhetoric tool that can either vilify or empathize with a subject to influence audience attitudes. The same subject—such as a common rat—can be depicted in contrasting ways: one as undesirable and deserving of eradication, the other as sympathetic and worthy of protection. The stylistic choices and emotional framing in the illustration directly shape the viewer's ",Applies when illustration is used as a persuasive medium in advocacy or commercial campaigns. Fails when illustration is purely artistic or decorative without intent to influence perception or behavior.,"[Alan Male- Illustration.md] Illustration serves as a powerful medium for shaping public perception and driving behavioral change, particularly in advocacy and commercial contexts. The same subject matter can be portrayed with varying emotional tones and stylistic approaches to achieve different persuasive outcomes.",1486,principle,design psychology ,causal mechanism,1,0.6,0.8,"design psychology, as its influence perception",human,17.09.26
59,R059,First Course Development Framework,A process template for creating and launching a first online course that builds on existing expertise and follows a structured development approach.,"When you are preparing to launch your first online course → identify your core expertise, package it into a saleable product, set appropriate pricing, and plan for iterative improvements based on market feedback.","The framework involves identifying one's core expertise, packaging it into a saleable product, setting appropriate pricing, and preparing for iterative improvements based on market feedback.",Applies to individuals developing their first online course based on existing expertise. Fails when the expertise is not clearly defined or when the course content cannot be effectively packaged into a saleable format.,[Million Dollar Micro Business How to Turn Your Expertise Into a Digital Online Course (Tina Tower).md] A process template for creating and launching a first online course that builds on existing expertise and follows a structured development approach.,1024,process template,,causal mechanism,1,,,,human,17.09.26
60,R060,Aiga Transportation Symbol System Development,A systematic effort by the U.S. Department of Transportation to create a standardized set of pictographic symbols for international transportation facilities.,"When designing or updating transportation signage for international facilities → do use the AIGA Transportation Symbol System to ensure clear, language‑neutral pictograms that are consistent across borders.","The Department of Transportation commissioned AIGA to develop a master set of 34 symbols by compiling existing systems, evaluating prior solutions through a committee of graphic designers, and creating new glyphs with clarity as the overriding goal.",Applies to the development of standardized transportation symbols for international use. Fails when existing symbol systems cannot be compiled or when design criteria are not met.,[[Philip_B._Meggs__Alston_W._Purvis]_Meggs__History.md] A systematic effort by the U.S. Department of Transportation to create a standardized set of pictographic symbols for international transportation facilities.,1010,quarantine,,,0.6,,,not sure if its tool instruction or process template,human,17.09.26
61,R061,Core Focus As Organizational Discipline,"A leadership principle that organizations must maintain a clear, unwavering focus on their fundamental purpose to avoid distraction from opportunistic ventures or diversions.","When an organization faces multiple competing opportunities or distractions → do maintain a clear, communicated core focus and enforce it through leadership decisions to avoid diverting resources.","Leadership teams must establish and enforce organizational core focus to prevent attention from being diverted by attractive but ultimately distracting opportunities, whether they appear as competitors, new ideas, or poor advice that seems beneficial at first.",Applies when organizations face multiple competing opportunities or distractions that could derail their strategic direction. Fails when leadership teams do not actively maintain focus or when core focus is not clearly defined and communicated.,"[Traction- Get a Grip on your Business Gino Wickman liber3.md] A leadership principle that organizations must maintain a clear, unwavering focus on their fundamental purpose to avoid distraction from opportunistic ventures or diversions.",1115,principle,strategic thinking,normative_heuristic,1,1,1,,human,17.09.26
62,R062,Somatic Marker Decision Making,A decision-making process where unconscious associations between categories (like 'Germany' or 'Japan') and qualities (like 'technological excellence') guide choices without conscious awareness.,"When a consumer sees a product labeled with a country that has a positive somatic marker (e.g., Germany = technological excellence), they will automatically prefer that product over similar options without conscious evaluation.","Somatic markers create automatic associations in the brain that link abstract concepts (like national origin) with perceived qualities (like technological excellence), influencing choices without deliberate reasoning.",Applies when decisions are influenced by unconscious associations between categories and qualities. Fails when decisions are made through deliberate rational analysis or when the associations are consciously recognized.,"[Lindstrom, Martin - Buyology (2008, Crown Publishing Group) - libgen.li.md] A decision-making process where unconscious associations between categories (like 'Germany' or 'Japan') and qualities (like 'technological excellence') guide choices without conscious awareness.",1132,principle,behavioral economics,empirical pattern,1,0.8,0.8,"FORM could be also descriptive_model,  behavioural trend in consumption",human,17.09.26
63,R063,Textbook Representation and State of Exception Legitimation,Educational textbooks in Israel systematically represent Palestinian experiences and rights in ways that legitimize the state of exception under Israeli occupation by concealing violations of human dignity and freedom.,"When encountering a textbook that presents a narrative about a contested region, do critically analyze the multimodal content (maps, photos, diagrams) to identify selective framing that may legitimize state-sanctioned violations.","Textbooks use multimodal representations (maps, photographs, diagrams) to create a narrative that portrays the Palestinian situation as legitimate while obscuring the reality of systematic human rights violations and the state's sanctioning of violence against Palestinians.",Applies specifically to Israeli educational materials and their role in legitimizing occupation policies. Fails when examining other contexts or non-educational media.,[[David_Machin]_Visual_Communication(z-lib.org).md] Educational textbooks in Israel systematically represent Palestinian experiences and rights in ways that legitimize the state of exception under Israeli occupation by concealing violations of human dignity and freedom.,1162,process instance,,,0.8,,,,human,17.09.26
64,R064,Optical Alignment in Typography,"Optical alignment is the visual adjustment of text elements to create even spacing and balanced appearance, regardless of geometric measurements. This principle ensures that text reads smoothly and consistently to the human eye by compensating for optical illusions in letterform perception.","When typesetting Latin‑script text, observe that certain letter pairs (e.g., AV, WA) create optical gaps, and adjust interletter spacing to compensate for perceived unevenness.","The human eye perceives spacing between letters optically, not geometrically. Certain letter combinations (like AV, WA) create triangular gaps that appear larger than rectangular gaps at the same geometric distance. Optical alignment corrects this by adjusting interletter spacing to make text appear evenly spaced, requiring manual or algorithmic adjustments that account for visual perception rathe","Applies to Latin-script typography where letters are spaced side-by-side and visual perception matters. Fails for: (1) monospaced fonts where all characters occupy equal width (optical alignment is disabled by design); (2) scripts where character spacing follows different rules (Arabic cursive connections, CJK ideographic squares); (3) purely geometric typefaces where optical correction is deliber","[Advanced Typography - From Knowledge to Mastery (Richard Hunt) (z-library.sk, 1lib.sk, z-lib.sk).md] Optical alignment is the visual adjustment of text elements to create even spacing and balanced appearance, regardless of geometric measurements. This principle ensures that text reads smoothly and consistently to the human eye by compensating for optical illusions in letterform perception.",1743,principle,typography,escriptive model,1,0.9,1,discipline also can visual perception since its also touch legibility,human,17.09.26
65,R065,Media Construction of Crime Waves,Media reporting on crime uses thematic classifications and ideological framing to construct new types of crime and create media waves that mirror crime waves.,When media coverage uses thematic classification and ideological framing to construct crime categories → critically evaluate the framing and seek objective crime data to avoid misinformed judgments.,"Media outlets categorize crime through thematic lenses (immigrants' crime, crimes against the elderly, drug-induced crime) and frame these through exaggeration, stereotyping, symbolization, and dramatization to create media waves that align with reported crime waves.",Applies when media coverage uses thematic classification and ideological framing to construct crime categories. Fails when media simply reports factual crime statistics without thematic construction or ideological bias.,[[David_Machin]_Visual_Communication(z-lib.org).md] Media reporting on crime uses thematic classifications and ideological framing to construct new types of crime and create media waves that mirror crime waves.,1056,principle,media studies,escriptive model,1,0.8,1,,human,17.09.26
66,R066,N-dimensional Sphere Volume Properties,"The volume of an n-dimensional sphere follows a specific mathematical form that involves the constant π and factorial terms, with the relationship between dimensions and volume exhibiting counterintuitive behavior as dimensions increase.","When estimating the volume of a high‑dimensional data cluster or designing a sampling algorithm in n‑dimensional Euclidean space → use the gamma‑function based volume formula and account for the fact that most of the volume lies near the surface, adjusting thresholds or distance metrics accordingly.","The volume formula for n-dimensional spheres involves the gamma function and powers of π, where the volume initially increases with dimensions but then approaches zero as dimensions grow large, due to the factorial growth in the denominator outpacing the exponential growth in the numerator.",Applies to mathematical properties of hyperspheres in Euclidean space. Fails when considering non-Euclidean geometries or when the dimensionality assumptions are violated.,"[The Art of Doing Science and Engineering Learning to Learn (Richard W. Hamming) (z-library.sk, 1lib.sk, z-lib.sk).md] The volume of an n-dimensional sphere follows a specific mathematical form that involves the constant π and factorial terms, with the relationship between dimensions and volume exhibiting counterintuitive behavior as dimensions increase.",1359,principle,emerging,escriptive model,1,0.6,0.8,not sure if FORM could be normative_heuristic and not if the discipline has anything to do with computational gemometry,human,17.09.26
